ip_src,ip_dst,udp_sport,udp_dport,packet_count,duration_sec,packet_rate,most_common_frame_len,most_common_frame_len_count,most_common_payload_len,motion_like_packet_count,preferred_beacon_src,sustained_factor,score
192.168.1.6,155.133.230.103,61435,27032,8,1.8111400604248047,4.417107309814345,142,7,100,8,192.168.1.6,0.06037133534749349,1.1116688573484235
192.168.1.6,162.254.198.156,61437,27080,8,1.710418939590454,4.677216683484302,142,7,100,8,192.168.1.6,0.057013964653015135,1.1116688573484235
192.168.1.6,142.250.31.139,57004,443,17,0.08596301078796387,197.75947636282953,1292,3,1250,11,192.168.1.6,0.002865433692932129,1.078218086862197
192.168.1.6,142.250.31.138,59013,443,17,0.0825960636138916,205.82094661882672,1292,3,1250,11,192.168.1.6,0.0027532021204630533,1.078218086862197
192.168.1.6,142.250.31.84,64785,443,14,0.10238480567932129,136.7390396173559,1292,4,1250,9,192.168.1.6,0.003412826855977376,1.0308714163592507
192.168.1.6,142.250.31.84,56022,443,13,0.07469892501831055,174.03195557115956,1292,4,1250,9,192.168.1.6,0.002489964167277018,0.9572377437621614
192.168.1.6,172.253.62.95,57216,443,15,0.07284712791442871,205.91065741974126,1292,3,1250,10,192.168.1.6,0.0024282375971476236,0.9513689001725268
192.168.1.6,142.251.111.101,65021,443,15,0.042350053787231445,354.1908134369951,1292,3,1250,11,192.168.1.6,0.0014116684595743814,0.9513689001725267
192.168.1.6,142.251.163.95,58856,443,14,0.05906105041503906,237.04285483610528,1292,3,1250,10,192.168.1.6,0.0019687016805013022,0.8879443068276918
192.168.1.6,142.251.111.95,50158,443,13,0.033473968505859375,388.36148148148146,1292,3,1250,10,192.168.1.6,0.0011157989501953125,0.8245197134828565
192.168.1.6,142.251.111.101,54236,443,10,0.07476687431335449,133.74907125432483,1292,5,1250,7,192.168.1.6,0.002492229143778483,0.8197509770994368
192.168.1.4,239.255.255.250,63030,1900,15,13.116664171218872,1.143583445012919,167,15,125,15,192.168.1.6,0.43722213904062907,0.6719221451400755
192.168.1.4,239.255.255.250,62090,1900,15,13.09627389907837,1.1453639497457062,167,15,125,15,192.168.1.6,0.4365424633026123,0.6719221451400755
172.253.115.94,192.168.1.6,443,61671,47,0.13262200355529785,354.39066474669085,1292,2,1250,7,192.168.1.6,0.004420733451843262,0.5905879121909323
192.168.1.6,31.13.66.56,61408,443,8,0.028186798095703125,283.8208147245906,1292,3,1250,5,192.168.1.6,0.0009395599365234375,0.507396746758681
192.168.1.1,239.255.255.250,35511,1900,141,700.227765083313,0.2013630521823479,136,141,94,141,192.168.1.6,1.0,0.504808605691972
192.168.1.6,172.253.62.95,49844,443,10,0.05656695365905762,176.7816605481773,1292,2,1250,5,192.168.1.6,0.0018855651219685872,0.5026280103752614
192.168.1.4,239.255.255.250,59021,1900,12,30.306541919708252,0.3959541155105009,167,12,125,12,192.168.1.6,1.0,0.49225162012126417
192.168.1.6,142.251.111.95,51305,443,9,0.04737210273742676,189.98523350092856,1292,2,1250,5,192.168.1.6,0.0015790700912475587,0.4523652093377353
192.168.1.6,142.250.31.94,58793,443,9,0.03769397735595703,238.76493358633775,1292,2,1250,5,192.168.1.6,0.0012564659118652344,0.4523652093377353
192.168.1.6,31.13.66.56,62038,443,8,0.020833969116210938,383.98828160761695,1292,2,1250,5,192.168.1.6,0.0006944656372070313,0.40210240830020916
192.168.1.6,31.13.66.56,50273,443,8,0.019755125045776367,404.95820610917343,1292,2,1250,5,192.168.1.6,0.0006585041681925456,0.40210240830020916
192.168.1.6,192.168.1.1,51543,53,35,540.2908971309662,0.0647799179772522,94,10,52,10,192.168.1.6,1.0,0.3435026525730275
155.133.252.88,192.168.1.6,27051,61417,8,1.9122340679168701,4.183588261616403,97,7,55,8,192.168.1.6,0.063741135597229,0.3039912230068377
162.254.193.77,192.168.1.6,27040,61419,8,0.9068360328674316,8.82188147586489,97,7,55,8,192.168.1.6,0.030227867762247722,0.3039912230068376
162.254.197.44,192.168.1.6,27018,61415,8,1.8207480907440186,4.393798373684375,97,7,55,8,192.168.1.6,0.06069160302480062,0.3039912230068376
155.133.227.35,192.168.1.6,27031,61414,8,1.913154125213623,4.181576327054528,97,7,55,8,192.168.1.6,0.06377180417378743,0.3039912230068376
103.10.125.41,192.168.1.6,27030,61416,8,2.214553117752075,3.612466973978278,97,7,55,8,192.168.1.6,0.07381843725840251,0.3039912230068376
162.254.192.73,192.168.1.6,27036,61425,8,0.7051570415496826,11.34499058878979,97,7,55,8,192.168.1.6,0.023505234718322755,0.3039912230068376
162.254.199.179,192.168.1.6,27042,61422,8,0.8061709403991699,9.923453698342012,97,7,55,8,192.168.1.6,0.02687236467997233,0.3039912230068376
103.28.54.167,192.168.1.6,27032,61418,8,2.7195770740509033,2.9416338578276533,97,7,55,8,192.168.1.6,0.09065256913503011,0.3039912230068376
162.254.194.55,192.168.1.6,27031,61421,8,0.8060739040374756,9.924648298288128,97,7,55,8,192.168.1.6,0.02686913013458252,0.3039912230068376
103.10.124.118,192.168.1.6,27058,61412,8,2.821367025375366,2.835504891085784,97,7,55,8,192.168.1.6,0.09404556751251221,0.3039912230068376
162.254.195.72,192.168.1.6,27041,61423,8,0.8067729473114014,9.916048904044533,97,7,55,8,192.168.1.6,0.026892431577046714,0.3039912230068376
205.196.6.212,192.168.1.6,27044,61424,8,0.9095568656921387,8.795491850762184,97,7,55,8,192.168.1.6,0.030318562189737955,0.3039912230068376
155.133.238.178,192.168.1.6,27047,61420,8,2.9192698001861572,2.7404113177513953,97,7,55,8,192.168.1.6,0.09730899333953857,0.3039912230068376
162.254.196.82,192.168.1.6,27034,61430,8,1.2981619834899902,6.162559142652389,97,7,55,8,192.168.1.6,0.04327206611633301,0.3039912230068376
188.42.106.164,192.168.1.6,27062,61429,8,1.4057090282440186,5.691078195601708,97,7,55,8,192.168.1.6,0.04685696760813395,0.3039912230068376
155.133.244.35,192.168.1.6,27032,61428,8,1.815126895904541,4.40740535444125,97,7,55,8,192.168.1.6,0.0605042298634847,0.3039912230068376
185.25.183.163,192.168.1.6,27031,61413,8,3.5265719890594482,2.268491902283167,97,7,55,8,192.168.1.6,0.11755239963531494,0.3039912230068376
