timestamp,time,fps,hmd_x,hmd_y,hmd_z,hmd_qx,hmd_qy,hmd_qz,hmd_qw,left_x,left_y,left_z,left_qx,left_qy,left_qz,left_qw,right_x,right_y,right_z,right_qx,right_qy,right_qz,right_qw
1770065093.064037,33.187840,22.122907,0.089123180,-0.003941064,-0.014588993,-0.000569860,-0.559678945,-24.672307702,,0.000951528,-0.052944075,-0.650522482,0.999808995,-0.005752442,0.016469354,-0.008811587,-0.001603497,-0.017287075,0.040550035,0.998649531,0.033664180,-0.030832020,-0.024803711
1770065093.114725,33.238528,19.728524,0.020646658,-0.001018129,-0.009206963,-0.000405243,0.596911527,-24.711822639,,-0.009843140,0.013765261,-0.651624198,0.999871961,-0.013844717,0.001460161,0.007890017,-0.003690927,0.041542080,-0.000775509,0.999232630,-0.035057572,-0.001994386,-0.017353411
1770065093.166087,33.289890,19.469723,-0.049639757,0.004254413,-0.004065956,0.000614968,-0.284035768,-24.751293353,,-0.002559151,0.108437648,-0.652725857,0.999839017,0.003957138,-0.015048780,0.008933900,0.003530913,0.005842140,-0.031856933,0.999011348,0.012938252,0.031299180,0.028797404
1770065093.219596,33.343399,18.688446,0.065069304,0.001478963,0.000199349,0.000763070,0.286568804,-24.793992036,,-0.006453146,0.117027558,-0.653827516,0.999928963,-0.009727313,0.006433543,0.002461211,0.002297267,-0.082776732,0.025361142,0.998609584,0.037247302,-0.026099636,0.026652321
1770065093.268754,33.392557,20.342529,0.026517240,-0.002551493,0.002948554,0.002062999,0.015533921,-24.836690288,,-0.006714141,0.071284219,-0.654929175,0.999731842,-0.017231633,-0.013067082,0.008280509,0.003562556,0.091416786,-0.003955671,0.999069818,-0.018973844,0.013222546,-0.036395815
1770065093.325221,33.449024,17.709441,-0.008504854,0.001439277,0.004940980,0.001750372,-0.289742729,-24.879386976,,-0.008266376,0.062784199,-0.656030834,0.999775210,0.005426162,0.018526040,0.008767722,-0.000052265,0.003473450,-0.029739124,0.998858021,-0.031497298,0.017161418,-0.031560414
1770065093.372247,33.496050,21.264869,-0.005151790,-0.004310423,0.005379148,-0.001425373,0.141880551,-24.922082534,,0.003814952,-0.074183338,-0.657132493,0.999924668,-0.002518981,0.001234418,-0.011949408,0.001386843,0.091905471,-0.042101054,0.999584990,-0.021570465,-0.014288135,0.012665389
1770065093.455102,33.578905,12.069280,0.060415296,-0.003027359,0.004217907,0.000368182,-0.432935575,-24.964778322,,-0.005753234,-0.107183838,-0.658234152,0.999671327,0.008515364,-0.021407085,-0.011245598,-0.004422329,-0.030872543,0.040900474,0.999126543,0.027132307,0.012714701,-0.029126023
1770065093.506382,33.630185,19.500772,-0.076181213,-0.002091872,0.002781299,0.001240278,0.560899686,-25.007474731,,-0.005877518,0.062834538,-0.659335811,0.999968179,-0.000459704,-0.007499269,0.002681409,0.001380052,-0.045567614,0.038781286,0.999018325,0.015341336,0.032375278,0.026055159
1770065093.553340,33.677143,21.295640,-0.049979962,0.000245738,0.001108119,0.001931371,0.952818384,-25.050171417,,0.009392661,0.078187789,-0.660437470,0.999834915,0.000717354,-0.014633225,0.010746932,0.003062624,0.009766000,0.041606870,0.999581105,-0.008518815,0.020580158,-0.018479734
1770065093.602098,33.725901,20.509442,-0.017559758,0.003302129,-0.001285590,-0.000010282,-0.988341929,-25.092868613,,-0.002673295,-0.111095861,-0.661539129,0.999648879,0.006455513,-0.024037111,0.009091845,-0.001308162,0.021296112,-0.045279836,0.999529323,-0.001224891,0.026086597,-0.016097270
1770065093.653672,33.777475,19.389618,0.000239783,-0.004413238,-0.003163546,-0.001046931,0.095706046,-25.135565758,,0.007308951,-0.031898975,-0.662640789,0.999805643,0.014694920,-0.012724952,-0.003288116,0.003335997,-0.031927529,-0.040335064,0.998904230,-0.026274488,0.014294549,-0.035995234
1770065093.700482,33.824285,21.362997,0.015962711,-0.000897409,-0.004502853,-0.000043205,0.847590564,-25.178262898,,-0.003503378,0.087320636,-0.663742448,0.999852804,-0.010169859,0.008248081,-0.011086623,0.003936348,-0.063850215,-0.032211510,0.999641429,-0.002050111,0.018488370,-0.019261113
1770065093.776540,33.900343,13.147835,0.029271542,0.002551229,-0.005763938,0.001174428,-0.814264351,-25.220960276,,0.006517462,-0.052095511,-0.664844107,0.999699089,0.012341378,0.021193560,-0.000505802,-0.001047360,-0.004014942,-0.021615571,0.999210093,-0.033411164,-0.000386891,-0.021511287
1770065093.827398,33.951201,19.662582,0.025534727,0.003877302,-0.006238356,-0.002100056,-0.968779565,-25.263657471,,0.002670564,-0.034257694,-0.665945766,0.999623622,-0.017967294,-0.020722825,0.000596217,-0.003938870,0.072504642,-0.018789987,0.999495074,0.031676394,-0.001436372,-0.002034921
1770065093.881373,34.005176,18.527142,0.011213445,0.005531571,-0.006466661,-0.001441875,0.634052553,-25.306354710,,0.003373419,-0.036397082,-0.667047425,0.999729257,-0.013406194,0.018606495,0.003935200,0.004756756,0.067885123,-0.021968769,0.998811776,-0.029078086,-0.000124780,0.039108639
1770065093.931483,34.055286,19.956056,-0.009588067,0.006096592,-0.006641547,-0.000915329,0.424085208,-25.349052169,,0.006644689,-0.071680794,-0.668149084,0.999660258,0.018226669,-0.010555786,0.015353596,-0.004475935,-0.006268646,-0.028326333,0.999121877,-0.027817408,0.031327846,-0.000483290
1770065094.013292,34.137095,12.223587,-0.030373250,-0.004332020,-0.007365256,0.001026308,0.708944975,-25.391750566,,0.008806239,-0.070274911,-0.669250743,0.999688377,-0.018114427,-0.007887485,0.015257903,-0.000034349,-0.003184176,-0.034330698,0.998972621,-0.040410751,0.020059003,-0.004278913
1770065094.084281,34.208084,14.086711,-0.042163405,-0.001318083,-0.008007564,-0.001836845,-0.788598285,-25.434449006,,0.010081780,-0.068566996,-0.670352402,0.999505797,-0.014583252,0.025021041,0.012224522,0.002372835,-0.032792791,-0.034330698,0.998691996,0.033406131,-0.029742608,0.024773055
1770065094.138508,34.262311,18.440959,-0.042898249,0.003853860,-0.008091509,0.001339172,0.225135044,-25.391196313,,0.008220472,0.064697064,-0.671454061,0.999677333,0.009692997,0.016994266,0.016200947,0.003846765,-0.066181535,-0.038569074,0.998583714,0.037721737,-0.018995946,-0.032354157
1770065094.182505,34.306308,22.728920,-0.040900563,-0.004873044,-0.007844761,-0.000717661,-0.700582904,-25.430582650,,0.005019193,-0.011188266,-0.672555720,0.999829021,-0.008110007,-0.015090960,-0.006958425,-0.003988863,0.036373508,-0.045633034,0.999161580,0.013758096,-0.022664514,-0.031195688
1770065094.213382,34.337185,32.386447,-0.041036645,-0.003047109,-0.007748733,0.001717629,-0.203863643,-25.470266779,,0.002795501,-0.036713495,-0.673657380,0.999768638,-0.013701033,-0.016504004,-0.001603190,-0.002195901,-0.008907550,0.039840880,0.999110627,-0.040238718,-0.006150325,0.010998777
1770065094.258353,34.382156,22.236558,-0.051574844,-0.002495748,-0.007718844,-0.001688487,0.344523453,-25.509872785,,-0.002406740,-0.083366523,-0.674759039,0.999759023,-0.014583827,-0.011390021,-0.011809983,-0.000222762,-0.005331519,0.036662098,0.998504681,-0.039422906,-0.029215311,-0.024097750
1770065094.289913,34.413716,31.685734,-0.057774746,-0.001910977,-0.007671147,0.000401256,0.489028596,-25.549630044,,-0.005089626,0.062352726,-0.675860698,0.999854386,0.007044042,-0.000457485,-0.015536371,-0.001930331,-0.076725651,0.039840880,0.998808326,-0.020629660,-0.021878173,-0.038440753
1770065094.339907,34.463710,20.002404,-0.070531084,-0.001204193,-0.007673055,0.002030268,0.038911100,-25.589668864,,-0.003487679,0.052576265,-0.676962357,0.999898453,0.009838980,-0.001596356,-0.010184737,0.003849655,0.007868749,-0.044926638,0.999515607,-0.023917100,-0.009036645,0.017744353
1770065094.386659,34.510462,21.389470,0.088475429,-0.000087257,-0.007374160,-0.001129028,-0.123203223,-25.629548051,,-0.003671814,-0.094930002,-0.678064016,0.999641073,-0.015467195,0.019368867,0.010165568,0.004863966,0.049220198,-0.044926638,0.998733045,-0.022296228,-0.018995944,0.040918669
1770065094.440351,34.564154,18.624713,0.066900970,0.001945599,-0.007133135,-0.001754306,-0.718131046,-25.669505618,,-0.004011304,-0.072701947,-0.679165675,0.999739546,-0.014731534,-0.015668207,0.007637407,-0.002899706,0.026430188,-0.044926638,0.999717354,-0.015355778,-0.017160126,0.005911159
1770065094.489350,34.613153,20.408550,0.049588603,0.003954460,-0.006647271,0.000417710,0.934385205,-25.709486957,,-0.002863318,-0.079343037,-0.680267334,0.999831808,-0.014290137,-0.002575879,0.011203276,-0.002024538,0.078719577,0.044079256,0.999744805,0.013560527,0.015867231,0.008641040
1770065094.541087,34.664890,19.328590,0.031740072,0.005269088,-0.006046300,0.001503718,0.389507736,-25.749586856,,-0.000451239,-0.115349466,-0.681368993,0.999569400,-0.017085650,-0.018791900,0.014695575,-0.001684411,0.041096514,0.040900474,0.998998444,0.029086493,0.003809999,-0.033787097
1770065094.593808,34.717611,18.967765,0.019849216,0.006077395,-0.005396360,-0.000355659,-0.035828730,-25.789768141,,0.002508341,0.056340868,-0.682470652,0.999589901,0.010721774,0.021463827,-0.015632579,-0.001211355,-0.028891928,0.036662098,0.998873977,-0.037593713,0.007741703,-0.027884718
1770065094.668700,34.792503,13.352553,0.014669931,-0.004735527,-0.004797933,0.000269618,0.207525864,-25.830003624,,0.006298331,-0.108420728,-0.683572312,0.999911701,-0.009729611,0.000387685,0.009042970,-0.000335174,0.075629357,0.030304534,0.998821075,-0.001064954,-0.032099583,0.036399776
1770065094.718584,34.842387,20.046475,0.008252298,-0.004736634,-0.004557544,-0.002083399,0.289101840,-25.870205063,,0.010686843,0.083117369,-0.684673971,0.999523450,-0.017675329,-0.024472976,0.006444325,0.001050040,-0.073730294,0.025359762,0.999659115,0.022017018,0.012460775,-0.006452432
1770065094.791924,34.915727,13.635135,0.004278700,-0.005687626,-0.004175340,0.000006344,0.886745811,-25.910410002,,-0.001730704,-0.038266799,-0.685775630,0.999910951,-0.011055526,0.006681939,0.003349206,0.004239052,0.035146044,0.019708595,0.999079970,-0.010303656,-0.030262742,-0.028586970
1770065094.844868,34.968671,18.887901,0.001853717,0.005545969,-0.003764517,-0.001540395,-0.733359783,-25.950643642,,0.004212332,0.115445490,-0.686877289,0.999817811,0.012632194,0.013662014,-0.004256885,-0.003730228,0.083635182,0.016883011,0.998820305,0.034115766,-0.007458845,-0.033741352
1770065094.894031,35.017834,20.340457,0.001061719,0.005150030,-0.003285012,0.000582257,-0.557542650,-25.990852331,,0.008484738,-0.024287070,-0.687978948,0.999824019,-0.011055526,-0.014063789,0.005649452,-0.003216137,0.064461448,0.016529813,0.999977827,0.004188768,-0.003789254,-0.003527207
1770065094.964953,35.088756,14.100017,-0.002405653,0.004359074,-0.002839848,0.000516438,-0.385784478,-26.031032654,,-0.009952378,0.079086691,-0.689080607,0.999930802,0.004981891,-0.010228497,0.002991641,-0.003615359,0.050482157,0.016176615,0.999302423,0.013129101,-0.009555756,-0.033630079
1770065095.041286,35.165089,13.100486,-0.006068984,0.004607713,-0.002438565,0.000730349,-0.338511307,-26.071192840,,0.009820130,0.090398477,-0.690182266,0.999724153,0.007630272,0.021681759,0.004826796,-0.003976870,0.066013744,0.015470219,0.999239014,-0.033697437,-0.017943394,0.007994424
1770065095.071978,35.195781,32.581674,-0.006172406,0.004746338,-0.002316463,0.000565802,-0.401318400,-26.111394941,,0.009016213,0.084861239,-0.691283925,0.999837083,0.007483140,-0.015475271,0.005506940,-0.003225529,-0.060578895,0.014763823,0.998620845,0.039933972,0.009055346,-0.032858591
1770065095.122497,35.246300,19.794537,-0.006175128,0.004803375,-0.002188637,0.000697440,-0.416699728,-26.151618659,,0.006983852,0.072125592,-0.692385584,0.999733448,0.006747478,0.021210744,0.006132549,-0.002435175,0.020241125,0.013704229,0.998448896,0.021767033,0.031597127,0.040343762
1770065095.169966,35.293769,21.066424,0.084812098,0.004567842,0.020253980,-0.000569570,-0.239356670,-26.191828142,,0.000714409,0.076817862,-0.693484348,0.999865227,0.008218801,-0.012589038,0.006595068,-0.002095337,-0.025496998,-0.034401062,0.999339378,-0.033924575,-0.005624050,-0.011760122
1770065095.246694,35.370497,13.033034,0.086521290,0.003527141,0.020118523,-0.001079664,-0.162175359,-26.232006450,,-0.000962763,0.099599641,-0.694583111,0.999789342,0.011897108,-0.015764285,0.005587199,0.003798650,-0.035903133,-0.031928676,0.999427511,0.024617671,0.022422120,0.005989050
1770065095.297523,35.421326,19.673834,0.087933822,0.003452383,0.019959536,0.000878441,-0.010101627,-26.272162567,,-0.001281975,0.106280283,-0.695681874,0.999674305,0.012632769,-0.021230552,0.006400080,0.004052373,0.015058180,-0.030515884,0.999089443,-0.027092988,0.024256918,0.022312700
1770065095.344210,35.468013,21.419290,0.087212587,0.003619803,0.019752217,0.001273353,0.131260109,-26.312328592,,-0.002049916,0.114172645,-0.696780637,0.999681721,0.013809827,-0.019847972,0.007197526,0.003510829,-0.095154858,-0.029103092,0.998754051,0.040229653,-0.002479706,-0.029423985
1770065095.376764,35.500567,30.718050,0.086847887,0.003772088,0.019596409,-0.001688487,0.133579516,-26.352500332,,-0.002624236,0.116556534,-0.697879401,0.999689919,0.014251224,-0.019017643,0.007436245,0.003414888,-0.053208362,-0.029103092,0.999225228,0.010626561,-0.003003936,-0.037775592
1770065095.425016,35.548819,20.724587,0.084926407,0.003622941,0.019206573,-0.000964482,0.041169469,-26.392685840,,-0.003700923,-0.108219374,-0.698978164,0.999776374,0.016605340,-0.010660456,0.007603966,0.003758771,-0.080379297,-0.028396696,0.999590413,-0.007321305,0.001715135,-0.027612719
1770065095.474046,35.597849,20.395649,0.084550821,0.003493915,0.018804654,-0.001754306,0.063142796,-26.432854651,,-0.003263969,-0.110186172,-0.700076927,0.999791462,0.015722547,-0.011545463,0.006044573,0.003490600,0.019789809,-0.028043498,0.999032991,-0.021816418,-0.009818892,-0.036887886
1770065095.551007,35.674810,12.993587,0.089123180,0.003410482,0.017926409,0.000582257,0.411236915,-26.473011880,,-0.001592030,-0.088443524,-0.701175691,0.999623394,-0.018705829,-0.019531619,0.004655988,-0.003528666,-0.011500460,-0.024158320,0.999048605,-0.015847684,0.019273687,0.035766760
1770065095.598944,35.722747,20.860749,0.092280285,0.003411958,0.017532757,0.000253164,0.527817621,-26.513126656,,0.000045895,-0.065650957,-0.702274454,0.999601252,-0.015174655,0.023533010,0.003641946,-0.001198351,0.041792172,-0.020626340,0.998867902,-0.038018419,0.019795864,-0.020630999
1770065095.646362,35.770165,21.088986,-0.082533526,0.002352614,0.017033537,0.001832812,0.718253121,-26.553192534,,0.001618407,-0.045562289,-0.703373217,0.999834718,-0.012526274,0.012666088,0.003633200,0.003982440,-0.011003150,-0.018153954,0.999611661,0.024510150,-0.012707261,0.003782149
1770065095.703646,35.827449,17.456919,-0.078679681,-0.000533219,0.016648789,0.001585992,-0.938505203,-26.593215141,,0.003358374,-0.019929192,-0.704471980,0.999928556,-0.010466422,0.005536819,0.001637012,-0.002277971,-0.060285683,-0.015328370,0.998963843,0.037581960,0.025560320,-0.002346484
1770065095.777810,35.901613,13.483603,-0.068729356,0.005637339,0.016566115,0.000796168,-0.627460555,-26.632981310,,0.005226550,0.028589957,-0.705570744,0.999976396,-0.005611057,-0.001219076,-0.003773272,0.000984586,0.014500503,-0.012502786,0.998429451,-0.039686331,-0.007730174,0.038779768
1770065095.853896,35.977699,13.143056,-0.074504681,-0.000788318,0.017256119,-0.002067217,-0.398388623,-26.672617911,,0.007302737,0.076562574,-0.706669507,0.999982532,0.001157027,-0.004060785,-0.004135981,0.004652868,-0.086332640,-0.010736797,0.999239696,-0.029707081,-0.020572724,-0.014638366
1770065095.928410,36.052213,13.420270,0.086023229,-0.003968199,0.018295895,-0.001688726,-0.686758019,-26.712088899,,0.010042205,0.071960194,-0.707768270,0.999901252,0.002039820,-0.012538265,-0.006009722,-0.001809249,-0.081405537,-0.009324005,0.999156606,-0.033685341,-0.023193860,-0.003663206
1770065096.004457,36.128260,13.149772,0.073743179,-0.003881443,0.019011337,-0.000684995,0.174504837,-26.751827817,,-0.009429734,0.037845055,-0.708867034,0.999754318,-0.001344222,-0.021220398,-0.006260274,0.000207237,-0.040925099,-0.005085629,0.998954854,-0.037535921,-0.025814999,0.003720331
1770065096.052994,36.176797,20.602832,0.070085291,-0.003277474,0.019155061,-0.001721644,0.352275155,-26.791630604,,-0.008782152,0.024505345,-0.709965797,0.999829493,-0.002227015,-0.017927202,-0.003826264,-0.001144023,0.042395843,-0.006498421,0.998947575,0.001940245,-0.033675338,0.031079723
