replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_i,i,15,3,11760.131778970263,192.168.1.6,192.168.1.14,52428,60376,152,51,2,int16_le,True,0.05252111810601365,3.0,6420.76560990428,5.073051667763933e-07,-0.00039873600527591643
16_i,i,16,3,11760.131778970263,192.168.1.6,192.168.1.14,52428,60376,152,51,2,uint16_le,True,0.05252111810601365,3.0,6420.76560990428,5.073051667763933e-07,-0.00039873600527591643
16_i,i,17,3,11760.131778970263,192.168.1.6,192.168.1.14,52428,60376,152,51,2,int16_le,False,0.02082820419740187,3.0,6420.76560990428,3.921247552690533e-06,0.09191626107787114
16_i,i,18,3,11760.131778970263,192.168.1.6,192.168.1.14,52428,60376,152,51,2,uint16_le,False,0.02082820419740187,3.0,6420.76560990428,3.9212475526904966e-06,-0.16506661853525398
16_k,k,1,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,int32_le,True,0.0932427820579469,2.0,2946.122833861478,-3.738554419750761e-11,-0.0002335845154658599
16_k,k,2,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,uint32_le,True,0.0932427820579469,2.0,2946.122833861478,-3.738554419750761e-11,-0.0002335845154658599
16_k,k,3,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,float32_le,True,0.09116158631514458,2.0,2946.122833861478,-9.194818579100066e-06,-0.00023908456671165395
16_k,k,4,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,uint16_le,True,0.08328544750886564,2.0,5892.245667722956,1.1167209408672247e-09,-0.00022551213795031939
16_k,k,5,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,uint32_be,True,0.08319916292060471,2.0,2946.122833861478,1.2549100507996083e-13,-0.0002264691031056312
16_k,k,6,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,uint16_be,True,0.08319908838649669,2.0,5892.245667722956,8.224174608672497e-09,-0.00022646910388116181
16_k,k,7,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,int16_be,True,0.08050283097808292,2.0,5892.245667722956,-7.156382959055675e-09,-0.0002260146644173543
16_k,k,8,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,int32_be,True,0.08050282887228545,2.0,2946.122833861478,-1.0919770577254488e-13,-0.00022601466533803228
16_k,k,9,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,int16_le,False,0.07787017879399659,2.0,5892.245667722956,-1.9931732256046384e-06,0.005366120616634096
16_k,k,10,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,int16_le,True,0.0777245798181788,3.0,5892.245667722956,-6.223292531828759e-09,-0.00033810765910870835
16_k,k,11,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,uint16_be,False,0.0759772966888674,3.0,5892.245667722956,-1.6190342019786866e-06,0.051708837828454736
16_k,k,12,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,uint32_be,False,0.07597721663717763,3.0,2946.122833861478,-2.4704516431286768e-11,0.0517097084593512
16_k,k,13,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,int32_be,False,0.07382836251854048,1.0,2946.122833861478,2.6121942099382312e-11,-0.0012740149263510575
16_k,k,14,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,int16_be,False,0.0738281668924746,1.0,5892.245667722956,1.7119209004923045e-06,-0.0012731226893398485
16_k,k,15,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,2,uint16_le,False,0.0727443459775758,1.0,5892.245667722956,1.156073981477495e-06,-0.03521602680803489
16_k,k,16,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,int32_le,False,0.03295868567726591,3.0,2946.122833861478,1.8580594051012682e-10,-0.20685844672502127
16_k,k,17,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,uint32_le,False,0.03295868567726591,3.0,2946.122833861478,1.8580594051012682e-10,-0.20685844672502127
16_k,k,18,3,11101.350783159798,192.168.1.6,192.168.1.14,52428,60376,152,58,4,float32_le,False,0.01914164361710216,3.0,2946.122833861478,2.047618027636279e-05,-0.0036507061094138656
16_left_x,left_x,1,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,uint16_le,False,0.10533424503562668,1.0,5583.5019013725905,3.2706158932866854e-07,-0.010529968898768624
16_left_x,left_x,2,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,2,uint16_be,False,0.10231425287418017,1.0,5583.5019013725905,-2.1534520407835536e-06,0.0678527348156675
16_left_x,left_x,3,3,10532.124878878945,192.168.1.6,192.168.1.14,52428,60376,152,62,4,uint32_be,False,0.10231422625007432,1.0,2791.7509506862953,-3.285906671545892e-11,0.06785316508732288
